"Name","State","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_loss","train_mae","train_mse","train_rmse","val_acc","val_loss","val_mae","val_mse","val_rmse"
"earnest-sweep-22","finished","32","oty2r5m9","Tanh","Linear","128","true","3000","MSELoss","0.07920361816118382","arch3","mini-batch","regression","0.7422498546607469","23.237765774739117","1.8556576123676691","23.237765774739117","4.820556583501444","0.8594652714640674","12.435225061368202","1.641934610625743","12.435225061368202","3.5263614479188323"
"splendid-sweep-21","finished","46","oty2r5m9","Tanh","Linear","256","true","4000","MSELoss","0.0695864214137627","arch5","mini-batch","regression","-8.293274695016332e+238","7.476898785632277e+240","1.520710730286371e+60","7.476898785632277e+240","2.7343918493208456e+120","NaN","NaN","NaN","NaN","NaN"
"distinctive-sweep-20","finished","71","oty2r5m9","Tanh","Tanh","128","true","5000","MSELoss","0.018053305339625163","arch5","mini-batch","regression","0.969566179863574","2.743796644731149","1.1051597351216071","2.743796644731149","1.6564409572125258","0.8923295965566762","9.527223008963992","1.5067747726472405","9.527223008963992","3.086619997499529"
"dulcet-sweep-19","finished","16","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.030170290270723217","arch4","mini-batch","regression","0.9785683340215184","1.9321969092001852","1.0145001765463788","1.9321969092001852","1.3900348589874232","0.8825180387308368","10.395399373895357","1.583556116125871","10.395399373895357","3.224189723619774"
"ethereal-sweep-18","finished","115","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.07504116890277505","arch5","mini-batch","regression","0.9793181948225808","1.8645923317679864","0.9961331205393058","1.8645923317679864","1.3655007622729425","0.8918601024687699","9.568766225426703","1.510704854170427","9.568766225426703","3.093342241884448"
"light-sweep-17","finished","86","oty2r5m9","Tanh","Tanh","64","true","4000","MSELoss","0.03800494674981871","arch5","mini-batch","regression","0.9729124009734996","2.4421141673824183","1.0375001537146755","2.4421141673824183","1.5627265171431686","0.8848938066577648","10.185179386475111","1.5483578846570687","10.185179386475111","3.191422784037726"
"splendid-sweep-16","finished","10","oty2r5m9","Tanh","Linear","256","true","1000","MSELoss","0.06706797426603321","arch2","mini-batch","regression","-1.2346418384085591e+71","1.1131057877336572e+73","1678184787516322000","1.1131057877336572e+73","3.336324006648121e+36","NaN","NaN","NaN","NaN","NaN"
"fine-sweep-15","finished","96","oty2r5m9","Tanh","Relu","32","true","2000","MSELoss","0.053701080401904785","arch3","mini-batch","regression","0.9777027358377453","2.0102359257178364","1.092179891758599","2.0102359257178364","1.417827890019743","0.9034991495343891","8.538884350187388","1.4564575708751093","8.538884350187388","2.922136949252617"
"leafy-sweep-14","finished","122","oty2r5m9","Tanh","Tanh","32","true","5000","MSELoss","0.09249830563315266","arch5","mini-batch","regression","0.9779338364220304","1.9894007822848256","1.0153195734168297","1.9894007822848256","1.410461194887979","0.8869383453631093","10.004268239369312","1.5914965280818167","10.004268239369312","3.1629524560715914"
"classic-sweep-13","finished","108","oty2r5m9","Tanh","Tanh","32","true","5000","MSELoss","0.09499172625121984","arch5","mini-batch","regression","0.9811239317712648","1.7017940054699232","0.971882704636834","1.7017940054699232","1.3045282693257063","0.9453224952528652","4.838142745270279","1.3192008733764589","4.838142745270279","2.199577856151102"
"dandy-sweep-12","finished","100","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.06085357326213492","arch5","mini-batch","regression","0.9698157844466812","2.721293251645126","1.0882508717795665","2.721293251645126","1.649634278149289","0.9226793789928224","6.841720435409442","1.4569908279407282","6.841720435409442","2.6156682579045536"
"major-sweep-11","finished","95","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.0355920721005607","arch5","mini-batch","regression","0.9759307866122264","2.169988080321427","1.0433539163682115","2.169988080321427","1.4730879404575363","0.921691537323836","6.92912967301792","1.420108363345638","6.92912967301792","2.632324006086242"
"playful-sweep-10","finished","100","oty2r5m9","Tanh","Tanh","128","true","5000","MSELoss","0.019576164616296285","arch5","mini-batch","regression","0.973858770720412","2.3567930961329573","1.0411059934945086","2.3567930961329573","1.5351850364477102","0.8509740507663073","13.186571305264042","1.6812603903193848","13.186571305264042","3.6313318913676897"
"bumbling-sweep-9","finished","121","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.09315812840249442","arch5","mini-batch","regression","0.982738504292784","1.556230331657028","0.9444801347204458","1.556230331657028","1.2474896118433323","0.8817767882632636","10.460988972189988","1.560684488653565","10.460988972189988","3.234345215370491"
"sparkling-sweep-8","finished","315","oty2r5m9","Tanh","Relu","64","true","5000","MSELoss","0.04048311536648026","arch5","mini-batch","regression","0.986791127841644","1.1908613163354258","0.9218290401106416","1.1908613163354258","1.0912659237488476","0.8459699053975093","13.629363450302389","1.6711514351184045","13.629363450302389","3.691796778034022"
"glamorous-sweep-7","finished","9","oty2r5m9","Tanh","Tanh","128","true","5000","MSELoss","0.01814150827200904","arch4","mini-batch","regression","0.981188702148704","1.6959545563472307","0.9984290057350644","1.6959545563472307","1.302288200187359","0.8737093092082424","11.17484040786136","1.5922145321659675","11.17484040786136","3.342879059712056"
"mild-sweep-6","finished","136","oty2r5m9","Tanh","Tanh","32","true","5000","MSELoss","0.04507158993612989","arch5","mini-batch","regression","0.9729208394965658","2.441353382467092","1.0747168245854355","2.441353382467092","1.5624830822978828","0.905740732350036","8.340537741511692","1.4490460090674775","8.340537741511692","2.8879989164665023"
"silvery-sweep-5","finished","590","oty2r5m9","Tanh","Sigmoid","128","true","5000","MSELoss","0.02378130819485255","arch5","mini-batch","regression","0.9202283540716688","7.191906026311276","1.4177253153518696","7.191906026311276","2.6817729259412095","0.925029711453643","6.633751106946469","1.4105592453818043","6.633751106946469","2.575606939528326"
"skilled-sweep-4","finished","22","oty2r5m9","Tanh","Sigmoid","256","true","2000","MSELoss","0.054866149858334705","arch1","mini-batch","regression","0.4234922799762181","51.97572768623891","2.2304673820724683","51.97572768623891","7.209419372337755","0.5192615908624278","42.53817099551526","2.179610298825583","42.53817099551526","6.522129329867298"
"balmy-sweep-3","finished","875","oty2r5m9","Tanh","Sigmoid","64","true","5000","MSELoss","0.045229041437152936","arch5","mini-batch","regression","0.9196340345381182","7.245487598875753","1.4259860134777036","7.245487598875753","2.691744341291675","0.933897559614014","5.849078956275479","1.412133888746532","5.849078956275479","2.4184869146380508"
"graceful-sweep-2","finished","240","oty2r5m9","Tanh","Relu","256","true","5000","MSELoss","0.07470702732797031","arch5","mini-batch","regression","0.9662072050825397","3.0466289442132544","1.164715375565461","3.0466289442132544","1.745459522364599","0.8519316716193855","13.10183615861705","1.6943115247602292","13.10183615861705","3.6196458609395825"
"treasured-sweep-1","finished","83","oty2r5m9","Tanh","Tanh","256","true","5000","MSELoss","0.047154859719040806","arch2","mini-batch","regression","0.991402613007913","0.7751074783447718","0.7948636848959091","0.7751074783447718","0.8804018845645276","0.8875782606020867","9.947645295704204","1.5917068927814235","9.947645295704204","3.1539887913092213"
