"Name","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_f1","train_loss","train_precision","train_recall","val_acc","val_f1","val_loss","val_precision","val_recall"
"prime-sweep-38","26","jcu1wj7v","Tanh","Tanh","64","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.7209821428571429","0.42965393264652385","0.726321986113362","0.5106089229813409","0.3708561777771762","0.59375","0.3552690594229165","1.034564696758035","0.34623519840911143","0.3647869674185464"
"balmy-sweep-37","18","jcu1wj7v","Tanh","Tanh","64","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8549107142857143","0.611682076657886","0.4479239442287379","0.6651717053544677","0.5661548643110752","0.6145833333333334","0.45321350731391474","1.4916991757524924","0.43678398895790205","0.47092731829573936"
"fluent-sweep-36","46","jcu1wj7v","Tanh","Tanh","32","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.5747767857142857","0.2650062297431121","1.1421678943394715","0.2798943318256197","0.2516219864942571","0.5625","0.33593385483310095","1.1209257194122293","0.42075471698113204","0.27957393483709275"
"hopeful-sweep-35","45","jcu1wj7v","Tanh","Tanh","32","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.6584821428571429","0.3251089953490706","0.9001135689880385","0.3284540277153784","0.32183140887322975","0.6979166666666666","0.4151994245380756","0.8077830611891317","0.44118423222826986","0.39210526315789473"
"zesty-sweep-34","33","jcu1wj7v","Tanh","Tanh","32","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.7354910714285714","0.40216617885118483","0.6657523358939405","0.43565545021132673","0.37345808159218813","0.6458333333333334","0.3861154826336439","1.0770173407039907","0.3932900432900433","0.3791979949874687"
"divine-sweep-33","28","jcu1wj7v","Tanh","Tanh","32","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8225446428571429","0.6490596480382033","0.4677854165646049","0.7038378984807788","0.6021922672121213","0.5625","0.3429064424671812","1.6021056421968949","0.33517543859649124","0.3510025062656642"
"swift-sweep-32","29","jcu1wj7v","Tanh","Sigmoid","256","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.3854166666666667","0.09273182957393483","1.5437326269431102","0.06423611111111112","0.16666666666666666","0.3958333333333333","0.11343283582089553","1.5345380919242981","0.07916666666666666","0.2"
"wild-sweep-31","25","jcu1wj7v","Tanh","Sigmoid","256","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.43359375","0.10081743869209808","1.255425497277022","0.072265625","0.16666666666666666","0.4375","0.1217391304347826","1.228002611816717","0.0875","0.2"
"copper-sweep-30","26","jcu1wj7v","Tanh","Sigmoid","256","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.43359375","0.10081743869209808","1.1998337271794528","0.072265625","0.16666666666666666","0.4375","0.1217391304347826","1.154961523490045","0.0875","0.2"
"magic-sweep-29","25","jcu1wj7v","Tanh","Sigmoid","256","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.55859375","0.20209135188256386","1.0264756114963978","0.18347481646207264","0.22491241241241242","0.6041666666666666","0.26035986913849507","0.933252597666049","0.23809523809523808","0.287218045112782"
